model,duration,total_images,batch_size,average_batch_duration,balanced_accuracy,env
tzhao3/DeiT-CIFAR10,20.857,200,1,0.06937,97.281,cuda
tzhao3/DeiT-CIFAR10,5.616,200,2,0.05756,97.281,cuda
tzhao3/DeiT-CIFAR10,5.156,200,5,0.12847,97.281,cuda
tzhao3/DeiT-CIFAR10,5.316,200,7,0.16179,97.281,cuda
tzhao3/DeiT-CIFAR10,5.084,200,10,0.24797,97.281,cuda
tzhao3/DeiT-CIFAR10,4.912,200,20,0.49732,97.281,cuda
tzhao3/DeiT-CIFAR10,6.33,200,30,0.72424,97.281,cuda
tzhao3/DeiT-CIFAR10,4.624,200,40,0.97655,97.281,cuda
facebook/deit-tiny-patch16-224,5.55,200,1,0.01983,74.861,cuda
facebook/deit-tiny-patch16-224,3.275,200,2,0.02126,74.861,cuda
facebook/deit-tiny-patch16-224,2.77,200,5,0.0271,74.861,cuda
facebook/deit-tiny-patch16-224,3.547,200,7,0.02834,74.861,cuda
facebook/deit-tiny-patch16-224,2.525,200,10,0.03834,74.861,cuda
facebook/deit-tiny-patch16-224,2.361,200,20,0.06077,74.861,cuda
facebook/deit-tiny-patch16-224,2.341,200,30,0.08942,74.861,cuda
facebook/deit-tiny-patch16-224,5.453,200,40,0.2158,74.861,cuda
facebook/deit-tiny-distilled-patch16-224,6.13,200,1,0.02506,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,6.054,200,2,0.04288,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,4.633,200,5,0.04873,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,4.839,200,7,0.06066,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,3.607,200,10,0.04374,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,3.673,200,20,0.09273,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,3.316,200,30,0.12888,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,2.515,200,40,0.13325,80.266,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,27.149,200,1,0.08021,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,5.492,200,2,0.05825,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,4.932,200,5,0.1156,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,4.653,200,7,0.17626,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,5.418,200,10,0.27713,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,5.731,200,20,0.52181,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,4.941,200,30,0.71976,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,5.383,200,40,1.07752,98.81,cuda
facebook/convnextv2-tiny-22k-224,1.593,200,1,0.00797,96.915,cuda
facebook/convnextv2-tiny-22k-224,1.081,200,2,0.01083,96.915,cuda
facebook/convnextv2-tiny-22k-224,1.017,200,5,0.02502,96.915,cuda
facebook/convnextv2-tiny-22k-224,1.0155,200,7,0.03568,96.915,cuda
facebook/convnextv2-tiny-22k-224,0.966,200,10,0.05308,96.915,cuda
facebook/convnextv2-tiny-22k-224,1.3135,200,20,0.13147,96.915,cuda
facebook/convnextv2-tiny-22k-224,0.994,200,30,0.14886,96.915,cuda
facebook/convnextv2-tiny-22k-224,0.992,200,40,0.1993,96.915,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,1.202,200,1,0.00796,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,0.937,200,2,0.01083,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,0.856,200,5,0.025,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,0.8385,200,7,0.03568,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,0.903,200,10,0.05308,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,0.8645,200,20,0.13147,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,1.159,200,30,0.14886,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,0.8575,200,40,0.17171,97.54,cuda
