model,duration,total_images,batch_size,average_batch_duration,balanced_accuracy,env
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,27.045,20,20,14.32057,100,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,24.218,40,20,11.04706,96.667,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,44.045,80,20,10.39652,96.5,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,53.289,100,20,10.20805,97.424,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,64.702,120,20,10.25353,97.98,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,84.334,160,20,10.16406,98.542,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,107.078,200,20,10.35476,98.81,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,158.589,300,20,10.35285,98.377,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,211.062,400,20,10.4033,98.237,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,267.135,500,20,10.5401,97.834,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,370.859,700,20,10.39203,98.303,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,530.764,1000,20,10.4342,98.269,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,1070.883,2000,20,10.48376,98.37,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,1601.29,3000,20,10.47072,98.221,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,2135.149,4000,20,10.53509,98.138,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,2611.052,5000,20,10.32236,97.913,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,3516.268,7000,20,10.83467,97.934,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,5472.044,10000,20,10.13573,97.88,cpu
