,model,duration,total_images,batch_size,average_batch_duration,balanced_accuracy,env
0,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,15.431,20,20,2.19236,100.0,cuda
1,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,5.008,40,20,1.91136,96.667,cuda
2,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,3.515,80,20,0.70166,96.5,cuda
3,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,3.509,100,20,0.61336,97.424,cuda
4,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,4.194,120,20,0.66038,97.98,cuda
5,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,5.438,160,20,0.57719,98.542,cuda
6,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,4.951,200,20,0.58243,98.81,cuda
7,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,6.011,300,20,0.46835,98.377,cuda
8,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,8.09,400,20,0.50747,98.237,cuda
9,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,9.706,500,20,0.48333,97.834,cuda
10,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,11.704,700,20,0.47061,98.303,cuda
11,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,15.649,1000,20,0.48024,98.269,cuda
12,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,30.555,2000,20,0.48676,98.37,cuda
13,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,41.39,3000,20,0.44524,98.221,cuda
14,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,56.75,4000,20,0.46389,98.138,cuda
15,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,68.637,5000,20,0.45693,97.913,cuda
16,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,94.789,7000,20,0.45329,97.934,cuda
17,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,135.348,10000,20,0.4436,97.88,cuda
