,model,duration,total_images,batch_size,average_batch_duration,balanced_accuracy,env
0,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,10.618,20,20,8.83704,100.0,mac_cpu
1,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,9.945,40,20,8.98788,96.667,mac_cpu
2,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,11.222,80,20,10.36642,96.5,mac_cpu
3,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,11.28,100,20,10.55571,97.424,mac_cpu
4,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,12.307,120,20,11.23535,97.98,mac_cpu
5,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,14.493,160,20,13.45799,98.542,mac_cpu
6,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,22.868,200,20,12.18885,98.81,mac_cpu
7,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,25.836,300,20,12.19907,98.377,mac_cpu
8,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,43.29,400,20,11.67729,98.237,mac_cpu
9,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,46.717,500,20,12.12334,97.834,mac_cpu
10,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,74.887,700,20,11.80617,98.303,mac_cpu
11,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,85.209,1000,20,10.83523,98.269,mac_cpu
12,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,175.172,2000,20,11.25268,98.37,mac_cpu
13,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,248.711,3000,20,10.68082,98.221,mac_cpu
14,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,269.414,4000,20,10.48706,98.138,mac_cpu
15,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,337.944,5000,20,10.08468,97.913,mac_cpu
16,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,505.454,7000,20,10.39144,97.934,mac_cpu
17,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,683.403,10000,20,10.24291,97.88,mac_cpu
